County & State,County,State,latitude,longitude
Abbeville CountySC,Abbeville County,SC,34.1891221,-82.4752757
Acadia ParishLA,Acadia Parish,LA,30.2297347,-92.3813621
Accomack CountyVA,Accomack County,VA,37.7063323,-75.8069082
Ada CountyID,Ada County,ID,43.478767,-116.2420304
Adair CountyIA,Adair County,IA,41.2741733,-94.479976
Adair CountyKY,Adair County,KY,37.076403,-85.3136218
Adair CountyMO,Adair County,MO,40.1993655,-92.539603
Adair CountyOK,Adair County,OK,35.9127307,-94.645035
Adams CountyCO,Adams County,CO,39.8398269,-104.1930918
Adams CountyIA,Adams County,IA,41.0652066,-94.6863782
Adams CountyID,Adams County,ID,44.9882561,-116.4916091
Adams CountyIL,Adams County,IL,40.0577692,-91.135302
Adams CountyIN,Adams County,IN,40.7249237,-84.8984775
Adams CountyMS,Adams County,MS,31.5305353,-91.2891036
Adams CountyND,Adams County,ND,46.0594591,-102.5179098
Adams CountyNE,Adams County,NE,40.5596231,-98.5721016
Adams CountyOH,Adams County,OH,38.8907822,-83.5070203
Adams CountyPA,Adams County,PA,39.8522417,-77.2864879
Adams CountyWA,Adams County,WA,46.9272238,-118.51098
Adams CountyWI,Adams County,WI,44.0196955,-89.7755338
Addison CountyVT,Addison County,VT,44.1197293,-73.164338
Adjuntas MunicipioPR,Adjuntas Municipio,PR,18.163017,-66.7229326
Aguada MunicipioPR,Aguada Municipio,PR,18.3804631,-67.1893608
Aguadilla MunicipioPR,Aguadilla Municipio,PR,18.4295875,-67.1541097
Aguas Buenas MunicipioPR,Aguas Buenas Municipio,PR,18.257041,-66.1061172
Aibonito MunicipioPR,Aibonito Municipio,PR,18.1407188,-66.2598174
Aiken CountySC,Aiken County,SC,33.6005783,-81.6035062
Aitkin CountyMN,Aitkin County,MN,46.6185433,-93.4536692
Alachua CountyFL,Alachua County,FL,29.6579549,-82.3017728
Alamance CountyNC,Alamance County,NC,36.0117388,-79.4253776
Alameda CountyCA,Alameda County,CA,37.6016892,-121.7195459
Alamosa CountyCO,Alamosa County,CO,37.654039,-105.876004
Albany CountyNY,Albany County,NY,42.6518095,-73.7544707
Albany CountyWY,Albany County,WY,41.638448,-105.5943388
Albemarle CountyVA,Albemarle County,VA,38.0567092,-78.6114999
Alcona CountyMI,Alcona County,MI,44.7210061,-83.1649001
Alcorn CountyMS,Alcorn County,MS,34.8984684,-88.5951751
Aleutians East BoroughAK,Aleutians East Borough,AK,55.3601426,-161.6757637
Aleutians West Census AreaAK,Aleutians West Census Area,AK,52.3034261,-174.1810309
Alexander CountyIL,Alexander County,IL,37.1670164,-89.3606298
Alexander CountyNC,Alexander County,NC,35.8974199,-81.2078164
Alexandria CityVA,Alexandria City,VA,38.804693,-77.0435257
Alfalfa CountyOK,Alfalfa County,OK,36.7435919,-98.3964938
Alger CountyMI,Alger County,MI,46.927418,-86.5087741
Allamakee CountyIA,Allamakee County,IA,43.2430754,-91.443469
