County & State,County,State,latitude,longitude,optimal_customer_rate,anticipated_win_rate,target_margin,anticipated_provider_rate
Abbeville CountySC,Abbeville County,SC,34.1891221,-82.4752757,950,0.50,0.95,42
Acadia ParishLA,Acadia Parish,LA,30.2297347,-92.3813621,950,0.50,0.95,42
Accomack CountyVA,Accomack County,VA,37.7063323,-75.8069082,950,0.50,0.95,42
Ada CountyID,Ada County,ID,43.478767,-116.2420304,950,0.50,0.95,42
Adair CountyIA,Adair County,IA,41.2741733,-94.479976,950,0.50,0.95,42
Adair CountyKY,Adair County,KY,37.076403,-85.3136218,950,0.50,0.95,42
Adair CountyMO,Adair County,MO,40.1993655,-92.539603,950,0.50,0.95,42
Adair CountyOK,Adair County,OK,35.9127307,-94.645035,950,0.50,0.95,42
Adams CountyCO,Adams County,CO,39.8398269,-104.1930918,950,0.50,0.95,42
Adams CountyIA,Adams County,IA,41.0652066,-94.6863782,950,0.50,0.95,42
Adams CountyID,Adams County,ID,44.9882561,-116.4916091,950,0.50,0.95,42
Adams CountyIL,Adams County,IL,40.0577692,-91.135302,950,0.50,0.95,42
Adams CountyIN,Adams County,IN,40.7249237,-84.8984775,950,0.50,0.95,42
Adams CountyMS,Adams County,MS,31.5305353,-91.2891036,950,0.50,0.95,42
Adams CountyND,Adams County,ND,46.0594591,-102.5179098,950,0.50,0.95,42
Adams CountyNE,Adams County,NE,40.5596231,-98.5721016,950,0.50,0.95,42
Adams CountyOH,Adams County,OH,38.8907822,-83.5070203,950,0.50,0.95,42
Adams CountyPA,Adams County,PA,39.8522417,-77.2864879,950,0.50,0.95,42
Adams CountyWA,Adams County,WA,46.9272238,-118.51098,950,0.50,0.95,42
Adams CountyWI,Adams County,WI,44.0196955,-89.7755338,950,0.50,0.95,42
Addison CountyVT,Addison County,VT,44.1197293,-73.164338,950,0.50,0.95,42
Adjuntas MunicipioPR,Adjuntas Municipio,PR,18.163017,-66.7229326,950,0.50,0.95,42
Aguada MunicipioPR,Aguada Municipio,PR,18.3804631,-67.1893608,950,0.50,0.95,42
Aguadilla MunicipioPR,Aguadilla Municipio,PR,18.4295875,-67.1541097,950,0.50,0.95,42
Aguas Buenas MunicipioPR,Aguas Buenas Municipio,PR,18.257041,-66.1061172,950,0.50,0.95,42
Aibonito MunicipioPR,Aibonito Municipio,PR,18.1407188,-66.2598174,950,0.50,0.95,42
Aiken CountySC,Aiken County,SC,33.6005783,-81.6035062,950,0.50,0.95,42
Aitkin CountyMN,Aitkin County,MN,46.6185433,-93.4536692,950,0.50,0.95,42
Alachua CountyFL,Alachua County,FL,29.6579549,-82.3017728,950,0.50,0.95,42
Alamance CountyNC,Alamance County,NC,36.0117388,-79.4253776,950,0.50,0.95,42
Alameda CountyCA,Alameda County,CA,37.6016892,-121.7195459,950,0.50,0.95,42
Alamosa CountyCO,Alamosa County,CO,37.654039,-105.876004,950,0.50,0.95,42
Albany CountyNY,Albany County,NY,42.6518095,-73.7544707,950,0.50,0.95,42
Albany CountyWY,Albany County,WY,41.638448,-105.5943388,950,0.50,0.95,42
Albemarle CountyVA,Albemarle County,VA,38.0567092,-78.6114999,950,0.50,0.95,42
Alcona CountyMI,Alcona County,MI,44.7210061,-83.1649001,950,0.50,0.95,42
Alcorn CountyMS,Alcorn County,MS,34.8984684,-88.5951751,950,0.50,0.95,42
Aleutians East BoroughAK,Aleutians East Borough,AK,55.3601426,-161.6757637,950,0.50,0.95,42
Aleutians West Census AreaAK,Aleutians West Census Area,AK,52.3034261,-174.1810309,950,0.50,0.95,42
Alexander CountyIL,Alexander County,IL,37.1670164,-89.3606298,950,0.50,0.95,42
Alexander CountyNC,Alexander County,NC,35.8974199,-81.2078164,950,0.50,0.95,42
Alexandria CityVA,Alexandria City,VA,38.804693,-77.0435257,950,0.50,0.95,42
Alfalfa CountyOK,Alfalfa County,OK,36.7435919,-98.3964938,950,0.50,0.95,42
Alger CountyMI,Alger County,MI,46.927418,-86.5087741,950,0.50,0.95,42
Allamakee CountyIA,Allamakee County,IA,43.2430754,-91.443469,950,0.50,0.95,42
